"id","Associated Disease","Disease Ontology Description","UniProt Description","Protein Count","Direct Association Count","Mondo ID"
178,"acne inversa, familial, 2",,"An autosomal dominant form of acne inversa, a chronic relapsing inflammatory disease of the hair follicles characterized by recurrent draining sinuses, painful skin abscesses, and disfiguring scars. Manifestations typically appear after puberty. Some ACNINV2 patients also exhibit reticulate hyperpigmentation consistent with Dowling-Degos disease.",1,1,"MONDO:0013397"
179,"acne inversa, familial, 3",,"A chronic relapsing inflammatory disease of the hair follicles characterized by recurrent draining sinuses, painful skin abscesses, and disfiguring scars. Manifestations typically appear after puberty.",1,1,"MONDO:0013398"
180,"Acne vulgaris",,,20,20,
181,"acoustic neuroma",,,1,1,"MONDO:0001569"
182,"Acoustic Trauma",,,5,5,
183,"acquired angioedema",,,2,2,"MONDO:0019624"
184,"acquired color blindness",,,3,3,"MONDO:0001828"
185,"acquired epidermolysis bullosa","An acquired epidermolysis bullosa that is characterized by formation of recurrent blisters secondary to minor trauma in the skin and mucosa, and has_material_basis_in the development of autoantibodies to type VII collagen.",,1,1,"MONDO:0018747"
186,"acquired generalized lipodystrophy","A complete generalized lipodystrophy that is charcterized by generalized disappearance of fat occurring during childhood and adolescence where normal  body fat is present at birth.",,1,1,"MONDO:0019193"
187,"acquired hemophilia",,,1,1,"MONDO:0019139"
188,"acquired hyperprolactinemia","An acquired metabolic disease that has_material_basis_in the presence of abnormally-high levels of prolactin in the blood.",,10,10,"MONDO:0024305"
189,"Acquired Hypogammaglobulinemia",,,11,11,
190,"acquired idiopathic inflammatory myopathy",,,1846,5,"MONDO:0020122"
191,"Acquired Immunodeficiency Syndrome",,,3,3,
192,"acquired lactic acidosis","A metabolic acidosis characterized by buildup of lactate.",,4,4,"MONDO:0024306"
193,"Acquired Language Disorders",,,2,2,
194,"Acquired Meningomyelocele",,,4,4,
195,"acquired metabolic disease","A disease of metabolism that has _material_basis_in enzyme deficiency or accumulation of enzymes or toxins which interfere with normal function due to an endocrine organ disease, organ malfunction, inadequate intake, dietary deficiency, or malabsorption.",,201,178,"MONDO:0006504"
196,"Acquired Metabolic Diseases, Nervous System",,,2,2,
197,"Acquired Nephrogenic Diabetes Insipidus",,,3,3,
198,"acquired paroxysmal nocturnal hemoglobinuria","An aquired hemolytic anemia that is characterized by abdominal pain, hematuria, esophageal dysmotility and thrombosis, has_material_basis_in defect in the cell membrane glycosyl phosphatidylinositols that protect red blood cells from the innate complement immune system.",,4,4,"MONDO:0100245"
199,"acquired partial lipodystrophy",,"A rare childhood disease characterized by loss of subcutaneous fat from the face and trunk. Fat deposition on the pelvic girdle and lower limbs is normal or excessive. Most frequently, onset between 5 and 15 years of age. Most affected subjects are females and some show no other abnormality, but many develop glomerulonephritis, diabetes mellitus, hyperlipidemia, and complement deficiency. Mental retardation in some cases. APLD is a sporadic disorder of unknown etiology.",2,2,"MONDO:0012104"
200,"acquired polycythemia vera","A primary polycythemia and a myeloproliferative neoplasm characterized by erythroid hyperplasia,  myeloid leukocytosis, thrombocytosis, and splenomegaly.","A myeloproliferative disorder characterized by abnormal proliferation of all hematopoietic bone marrow elements, erythroid hyperplasia, an absolute increase in total blood volume, but also by myeloid leukocytosis, thrombocytosis and splenomegaly.",14,14,"MONDO:0009891"
201,"Acquired Polyneuropathy",,,3,3,
202,"acquired thrombocytopenia",,,5,5,"MONDO:0001198"
203,"acquired von willebrand syndrome","A blood coagulation disease characterized by development of a defect in clotting in the absence of previous bleeding symptoms, negative familial history, and occurrence in a relatively older age. Typically this develops secondarily to other disorders, such as lymphoproliferative, myeloproliferative, cardiovascular and autoimmune disorders.",,2,2,"MONDO:0020460"
204,"acral dystrophic epidermolysis bullosa",,,1,1,"MONDO:0015552"
205,"acral lentiginous melanoma",,,1,1,"MONDO:0003865"
206,"acral peeling skin syndrome",,"A non-inflammatory and localized form of peeling skin syndrome, a genodermatosis characterized by the continuous shedding of the outer layers of the epidermis. In PSS2 patients, skin peeling is painless and strictly limited to the dorsa of the hands and feet. It is accompanied by painless erythema and spontaneous non-scarring healing. Ultrastructural and histological analysis shows a level of blistering high in the epidermis at the stratum granulosum-stratum corneum junction.",2,2,"MONDO:0012345"
207,"acral self-healing collodion baby",,,1,1,"MONDO:0017268"
208,"Acrania",,,28,28,
209,"Acro-Osteolysis",,,1,1,
210,"Acro-renal-ocular syndrome",,,1,1,
211,"acrocallosal syndrome","A syndrome that is an autosomal recessive disorder, which is characterized by corpus callosum agenesis, polydactyly, multiple dysmorphic features, motor and mental retardation.","An autosomal recessive syndrome characterized by hypogenesis or agenesis of the corpus callosum. Clinical features include postaxial polydactyly, hallux duplication, macrocephaly, craniofacial abnormalities, severe developmental delay and mental retardation.",4,4,"MONDO:0008708"
212,"Acrocallosal syndrome, Schinzel type",,,3,3,
213,"acrocapitofemoral dysplasia","An osteochondrodysplasia characterized by skeletal dysplasia, bradydactyly and narrow thorax and has_material_basis_in mutations in the Indian hedgehog homolog gene.","An autosomal recessive disorder characterized by short stature of variable severity with postnatal onset. The most constant radiographic abnormalities are observed in the tubular bones of the hands and in the proximal part of the femur. Cone-shaped epiphyses or a similar epiphyseal configuration with premature epimetaphyseal fusion result in shortening of the skeletal components involved. Cone-shaped epiphyses are also present to a variable extent at the shoulders, knees and ankles.",1,1,"MONDO:0011907"
214,"Acrocephalosyndactylia",,,2,2,
215,"acrocephalosyndactyly","A synostosis that results_in craniosynostosis and syndactyly.",,7,7,"MONDO:0019796"
216,"Acrocephaly",,,16,16,
217,"acrodermatitis","A dermatitis that selectively affects the hands and feet.",,3,3,"MONDO:0006523"
218,"Acrodermatitis continua of Hallopeau",,,2,2,
219,"acrodermatitis enteropathica","A metal metabolism disorder characterized by dermatitis around bodily openings and the tips of fingers and toes, alopecia and diarrhea and has_material_basis_in mutation in the SLC39A4 gene that encodes a zinc uptake protein and results in zinc deficiency.","A rare autosomal recessive disease caused by the inability to absorb sufficient zinc. The clinical features are growth retardation, immune-system dysfunction, alopecia, severe dermatitis, diarrhea and occasionally mental disorders.",2,2,"MONDO:0008713"
220,"acrodysostosis","A dysostosis that results_in shortening of interphalangeal joints located_in hand or located_in foot along with mental deficiency.",,2,2,"MONDO:0019797"
221,"acrodysostosis 1 with or without hormone resistance",,"A form of skeletal dysplasia characterized by short stature, severe brachydactyly, facial dysostosis, and nasal hypoplasia. Affected individuals often have advanced bone age and obesity. Laboratory studies show resistance to multiple hormones, including parathyroid, thyrotropin, calcitonin, growth hormone-releasing hormone, and gonadotropin. However, not all patients show endocrine abnormalities.",2,2,"MONDO:0007044"
222,"acrodysostosis 2 with or without hormone resistance",,"A pleiotropic disorder characterized by skeletal, endocrine, and neurological abnormalities. Skeletal features include brachycephaly, midface hypoplasia with a small upturned nose, brachydactyly, and lumbar spinal stenosis. Endocrine abnormalities include hypothyroidism and hypogonadism in males and irregular menses in females. Developmental disability is a common finding but is variable in severity and can be associated with significant behavioral problems.",2,2,"MONDO:0013822"
223,"acrodysostosis with multiple hormone resistance",,,2,2,"MONDO:0017240"
224,"acrofacial dysostosis Cincinnati type","An acrofacial dysostosis characterized by a spectrum of mandibulofacial dysostosis phenotypes, such as cleft palate, micrognathia, malar flattening, microcephaly and, in some cases, extrafacial skeletal defects. It is that has material basis in heterozygous mutation in the POLR1A gene on chromosome 2p11.","A form of acrofacial dysostosis, a group of disorders which are characterized by malformation of the craniofacial skeleton and, in some patients, the limbs.",1,1,"MONDO:0014651"
225,"acrofacial dysostosis Rodriguez type","An acrofacial dysostosis that is characterized by CNS malformations, lung anomalies, congenital heart defects, dysmorphic facies and limb reduction, and has_material_basis_in autosomal recessive inheritance.",,1,1,"MONDO:0008714"
226,"acrofacial dysostosis, Weyers type",,"An autosomal dominant condition characterized by dysplastic nails, postaxial polydactyly, dental anomalies, short limbs, short stature and normal intelligence. The phenotype is milder than Ellis-van Creveld syndrome.",2,2,"MONDO:0008673"
227,"acrogeria",,,1,1,"MONDO:0008716"
228,"acrokeratosis verruciformis","A keratosis that has_material_basis_in mutations in the ATP2A2 gene.","A localized disorder of keratinization, which is inherited as an autosomal dominant trait. Its onset is early in life with multiple flat-topped, flesh-colored papules on the hands and feet, punctate keratoses on the palms and soles, with varying degrees of nail involvement. The histopathology shows a distinctive pattern of epidermal features with hyperkeratosis, hypergranulosis and acanthosis together with papillomatosis. These changes are frequently associated with circumscribed elevations of the epidermis that are said to resemble church spires. There are no features of dyskeratosis or acantholysis, the typical findings in lesions of Darier disease.",1,1,"MONDO:0007048"
229,"acromegaloid facial appearance syndrome",,,1,1,"MONDO:0007051"
230,"acromegaly","A disease of metabolism that has_material_basis_in excessive growth hormone production which results_in enlargement located_in limb.",,22,22,"MONDO:0019933"
231,"ACROMEGALY DUE TO PITUITARY ADENOMA 1",,,1,1,
232,"acromelic frontonasal dysostosis","A dysostosis characterized by cranium bifidum, severe hypertelorism, median cleft lip and palate, nasal bifurcation, brachycephaly, large fontanelle, tibial hemimelia, preaxial polydactyly of the feet and brain malformations.","A rare variant form of frontonasal dysplasia, an array of abnormalities affecting the eyes, forehead and nose and linked to midfacial dysraphia. The clinical picture is highly variable. Major findings include true ocular hypertelorism, broadening of the nasal root, median facial cleft affecting the nose and/or upper lip and palate, unilateral or bilateral clefting of the alae nasi, lack of formation of the nasal tip, anterior cranium bifidum occultum, a V-shaped or widow's peak frontal hairline. AFND is characterized by the association of frontonasal malformations with various combinations of polydactyly, tibial hypoplasia, epibulbar dermoid, encephalocoele, corpus callosum agenesis and Dandy-Walker malformation.",1,1,"MONDO:0011359"
233,"Acromelic frontonasal dysplasia",,,1,1,
234,"acromesomelic dysplasia","An osteochondrodysplasia that has_material_basis_in mesomelia and acromelia, which results_in short limb Dwarfism.",,6,4,"MONDO:0019696"
235,"Acromesomelic dysplasia Hunter-Thompson type",,,2,2,
236,"acromesomelic dysplasia, Demirhan type",,"A form of chondrodysplasia. Acromesomelic chondrodysplasias are rare hereditary skeletal disorders characterized by short stature, very short limbs and hand/foot malformations. The severity of limb abnormalities increases from proximal to distal with profoundly affected hands and feet showing brachydactyly and/or rudimentary fingers (knob-like fingers). AMDD inheritance is autosomal recessive.",1,1,"MONDO:0012274"
237,"acromesomelic dysplasia, Grebe type","An acromesomelic dysplasia that has_material_basis_in mutation in CDMP-1 which results_in micromelia, absence of middle and proximal phalanges and some metacarpal and metatarsal bones.","An autosomal recessive acromesomelic chondrodysplasia. Acromesomelic chondrodysplasias are rare hereditary skeletal disorders characterized by short stature, very short limbs and hand/foot malformations. The severity of limb abnormalities increases from proximal to distal with profoundly affected hands and feet showing brachydactyly and/or rudimentary fingers (knob-like fingers). AMDG is characterized by normal axial skeletons and missing or fused skeletal elements within the hands and feet.",3,3,"MONDO:0008703"
